,GEO,year,Labour force,Employment,Population,Part-time employment ,Full-time employment
0,Alberta,1976,890483.3333333334,855791.6666666666,1320641.6666666667,126016.66666666667,729791.6666666666
1,Alberta,1977,946833.3333333334,904358.3333333334,1399300.0,131225.0,773133.3333333334
2,Alberta,1978,1007875.0,960158.3333333334,1469416.6666666667,142358.33333333334,817808.3333333334
3,Alberta,1979,1075616.6666666667,1032933.3333333334,1538925.0,142866.66666666666,890100.0
4,Alberta,1980,1146375.0,1101966.6666666667,1619383.3333333333,152350.0,949625.0
5,Alberta,1981,1230975.0,1183183.3333333333,1702316.6666666667,163416.66666666666,1019775.0
6,Alberta,1982,1263608.3333333333,1165550.0,1759208.3333333333,170175.0,995400.0
7,Alberta,1983,1274608.3333333333,1134366.6666666667,1777350.0,187091.66666666666,947275.0
8,Alberta,1984,1283650.0,1137150.0,1778775.0,195683.33333333334,941475.0
9,Alberta,1985,1300091.6666666667,1172958.3333333333,1791125.0,203216.66666666666,969716.6666666666
10,Alberta,1986,1315666.6666666667,1183966.6666666667,1811941.6666666667,201025.0,982925.0
11,Alberta,1987,1313041.6666666667,1188016.6666666667,1815050.0,207991.66666666666,980000.0
12,Alberta,1988,1329075.0,1222825.0,1827108.3333333333,212316.66666666666,1010500.0
13,Alberta,1989,1347375.0,1251008.3333333333,1853125.0,216508.33333333334,1034500.0
14,Alberta,1990,1370466.6666666667,1275583.3333333333,1889791.6666666667,216975.0,1058591.6666666667
15,Alberta,1991,1398908.3333333333,1283525.0,1927775.0,222825.0,1060741.6666666667
16,Alberta,1992,1414033.3333333333,1280241.6666666667,1958091.6666666667,238116.66666666666,1042133.3333333334
17,Alberta,1993,1426283.3333333333,1289558.3333333333,1987241.6666666667,250775.0,1038783.3333333334
18,Alberta,1994,1452600.0,1325225.0,2016250.0,257541.66666666666,1067675.0
19,Alberta,1995,1481616.6666666667,1365616.6666666667,2048841.6666666667,264725.0,1100891.6666666667
20,Alberta,1996,1508600.0,1404750.0,2086908.3333333333,264208.3333333333,1140541.6666666667
21,Alberta,1997,1543250.0,1452750.0,2139008.3333333335,271541.6666666667,1181208.3333333333
22,Alberta,1998,1598541.6666666667,1509266.6666666667,2201025.0,286983.3333333333,1222275.0
23,Alberta,1999,1637125.0,1544383.3333333333,2254633.3333333335,295316.6666666667,1249075.0
24,Alberta,2000,1666841.6666666667,1584100.0,2306883.3333333335,291608.3333333333,1292491.6666666667
25,Alberta,2001,1708558.3333333333,1627908.3333333333,2360283.3333333335,293900.0,1334000.0
26,Alberta,2002,1766616.6666666667,1671966.6666666667,2423941.6666666665,297600.0,1374383.3333333333
27,Alberta,2003,1820908.3333333333,1727775.0,2477225.0,311325.0,1416450.0
28,Alberta,2004,1861616.6666666667,1776300.0,2532850.0,319950.0,1456358.3333333333
29,Alberta,2005,1896566.6666666667,1821991.6666666667,2608116.6666666665,313466.6666666667,1508516.6666666667
30,Alberta,2006,1988800.0,1918450.0,2698616.6666666665,308250.0,1610225.0
31,Alberta,2007,2071491.6666666667,1995166.6666666667,2778516.6666666665,313825.0,1681341.6666666667
32,Alberta,2008,2131441.6666666665,2048958.3333333333,2851050.0,328750.0,1720208.3333333333
33,Alberta,2009,2177858.3333333335,2030483.3333333333,2921200.0,362066.6666666667,1668408.3333333333
34,Alberta,2010,2171725.0,2030341.6666666667,2967666.6666666665,359316.6666666667,1671016.6666666667
35,Alberta,2011,2227166.6666666665,2104533.3333333335,3014550.0,360858.3333333333,1743683.3333333333
36,Alberta,2012,2275358.3333333335,2167566.6666666665,3078516.6666666665,355541.6666666667,1812025.0
37,Alberta,2013,2316641.6666666665,2209291.6666666665,3158500.0,353475.0,1855833.3333333333
38,Alberta,2014,2359116.6666666665,2245733.3333333335,3237233.3333333335,372716.6666666667,1873041.6666666667
39,Alberta,2015,2411533.3333333335,2265475.0,3284491.6666666665,391400.0,1874075.0
40,Alberta,2016,2401983.3333333335,2205633.3333333335,3316308.3333333335,417216.6666666667,1788391.6666666667
41,Alberta,2017,2415791.6666666665,2222491.6666666665,3350466.6666666665,417883.3333333333,1804625.0
42,Alberta,2018,2441875.0,2280716.6666666665,3398425.0,410583.3333333333,1870125.0
43,Alberta,2019,2476525.0,2305958.3333333335,3454383.3333333335,418725.0,1887225.0
44,Alberta,2020,2420350.0,2143966.6666666665,3506975.0,386091.6666666667,1757891.6666666667
45,Alberta,2021,2469858.3333333335,2260966.6666666665,3543683.3333333335,424191.6666666667,1836775.0
46,Alberta,2022,2522833.3333333335,2377533.3333333335,3616583.3333333335,440475.0,1937041.6666666667
47,Alberta,2023,2585600.0,2429700.0,3678400.0,452300.0,1977400.0
48,British Columbia,1976,1158716.6666666667,1061366.6666666667,1875500.0,159191.66666666666,902200.0
49,British Columbia,1977,1189016.6666666667,1089666.6666666667,1921616.6666666667,166191.66666666666,923466.6666666666
50,British Columbia,1978,1240941.6666666667,1138233.3333333333,1972158.3333333333,169650.0,968591.6666666666
51,British Columbia,1979,1287641.6666666667,1188533.3333333333,2027033.3333333333,185500.0,1003058.3333333334
52,British Columbia,1980,1356783.3333333333,1265941.6666666667,2098050.0,210275.0,1055650.0
53,British Columbia,1981,1416633.3333333333,1319950.0,2166500.0,219366.66666666666,1100600.0
54,British Columbia,1982,1428058.3333333333,1254100.0,2208916.6666666665,223408.33333333334,1030691.6666666666
55,British Columbia,1983,1446025.0,1245283.3333333333,2240408.3333333335,243558.33333333334,1001708.3333333334
56,British Columbia,1984,1464791.6666666667,1244891.6666666667,2276458.3333333335,239766.66666666666,1005125.0
57,British Columbia,1985,1492900.0,1279375.0,2306575.0,248225.0,1031141.6666666666
58,British Columbia,1986,1526675.0,1331433.3333333333,2335066.6666666665,264050.0,1067375.0
59,British Columbia,1987,1566791.6666666667,1377800.0,2371183.3333333335,264458.3333333333,1113350.0
60,British Columbia,1988,1599025.0,1434875.0,2419000.0,274491.6666666667,1160383.3333333333
61,British Columbia,1989,1657250.0,1507808.3333333333,2477166.6666666665,265525.0,1242283.3333333333
62,British Columbia,1990,1702033.3333333333,1558708.3333333333,2545883.3333333335,277908.3333333333,1280816.6666666667
63,British Columbia,1991,1750258.3333333333,1576883.3333333333,2616258.3333333335,305666.6666666667,1271216.6666666667
64,British Columbia,1992,1800583.3333333333,1617166.6666666667,2690466.6666666665,314850.0,1302350.0
65,British Columbia,1993,1847358.3333333333,1668250.0,2770533.3333333335,327308.3333333333,1340950.0
66,British Columbia,1994,1918383.3333333333,1743808.3333333333,2858866.6666666665,362858.3333333333,1380941.6666666667
67,British Columbia,1995,1950966.6666666667,1785791.6666666667,2944516.6666666665,353875.0,1431908.3333333333
68,British Columbia,1996,1985725.0,1813133.3333333333,3026150.0,363916.6666666667,1449208.3333333333
69,British Columbia,1997,2031708.3333333333,1859541.6666666667,3096750.0,386350.0,1473175.0
70,British Columbia,1998,2037983.3333333333,1858225.0,3138491.6666666665,398125.0,1460091.6666666667
71,British Columbia,1999,2064033.3333333333,1894400.0,3172825.0,405991.6666666667,1488416.6666666667
72,British Columbia,2000,2080841.6666666667,1931483.3333333333,3210616.6666666665,397408.3333333333,1534075.0
73,British Columbia,2001,2082425.0,1920816.6666666667,3252725.0,403216.6666666667,1517575.0
74,British Columbia,2002,2133850.0,1950625.0,3284125.0,444516.6666666667,1506108.3333333333
75,British Columbia,2003,2172516.6666666665,1997575.0,3313591.6666666665,446141.6666666667,1551416.6666666667
76,British Columbia,2004,2185325.0,2029708.3333333333,3349950.0,425458.3333333333,1604241.6666666667
77,British Columbia,2005,2219391.6666666665,2090083.3333333333,3393416.6666666665,430750.0,1659341.6666666667
78,British Columbia,2006,2264308.3333333335,2153808.3333333335,3442408.3333333335,443100.0,1710700.0
79,British Columbia,2007,2313100.0,2211941.6666666665,3493216.6666666665,455516.6666666667,1756441.6666666667
80,British Columbia,2008,2357808.3333333335,2244058.3333333335,3548583.3333333335,457383.3333333333,1786683.3333333333
81,British Columbia,2009,2389916.6666666665,2203083.3333333335,3609016.6666666665,484766.6666666667,1718341.6666666667
82,British Columbia,2010,2410200.0,2223258.3333333335,3663900.0,496075.0,1727183.3333333333
83,British Columbia,2011,2419491.6666666665,2235391.6666666665,3707358.3333333335,507558.3333333333,1727816.6666666667
84,British Columbia,2012,2466950.0,2296708.3333333335,3766658.3333333335,499258.3333333333,1797433.3333333333
85,British Columbia,2013,2486883.3333333335,2320475.0,3828533.3333333335,498500.0,1821975.0
86,British Columbia,2014,2506033.3333333335,2348983.3333333335,3897691.6666666665,508125.0,1840841.6666666667
87,British Columbia,2015,2546575.0,2390000.0,3960158.3333333335,486725.0,1903275.0
88,British Columbia,2016,2626741.6666666665,2468166.6666666665,4024775.0,527125.0,1941033.3333333333
89,British Columbia,2017,2702641.6666666665,2560616.6666666665,4088058.3333333335,546758.3333333334,2013883.3333333333
90,British Columbia,2018,2734533.3333333335,2607116.6666666665,4163041.6666666665,552641.6666666666,2054475.0
91,British Columbia,2019,2812300.0,2676116.6666666665,4240466.666666667,582141.6666666666,2093950.0
92,British Columbia,2020,2762191.6666666665,2509841.6666666665,4299666.666666667,527700.0,1982175.0
93,British Columbia,2021,2851500.0,2665416.6666666665,4349783.333333333,583150.0,2082258.3333333333
94,British Columbia,2022,2880416.6666666665,2748250.0,4425925.0,570216.6666666666,2178033.3333333335
95,British Columbia,2023,2897100.0,2770700.0,4455200.0,554700.0,2216000.0
96,Manitoba,1976,455800.0,434516.6666666667,737541.6666666666,61458.333333333336,373050.0
97,Manitoba,1977,464316.6666666667,438125.0,747250.0,66550.0,371616.6666666667
98,Manitoba,1978,475325.0,444391.6666666667,754608.3333333334,69691.66666666667,374691.6666666667
99,Manitoba,1979,481033.3333333333,454850.0,757375.0,72475.0,382350.0
100,Manitoba,1980,488916.6666666667,462150.0,760425.0,77000.0,385133.3333333333
101,Manitoba,1981,498650.0,468833.3333333333,765441.6666666666,78608.33333333333,390216.6666666667
102,Manitoba,1982,503883.3333333333,460583.3333333333,774408.3333333334,84466.66666666667,376150.0
103,Manitoba,1983,516958.3333333333,467925.0,785750.0,88391.66666666667,379541.6666666667
104,Manitoba,1984,524025.0,479350.0,795575.0,90133.33333333333,389225.0
105,Manitoba,1985,530791.6666666666,486825.0,805091.6666666666,88750.0,398091.6666666667
106,Manitoba,1986,541916.6666666666,500758.3333333333,813141.6666666666,93491.66666666667,407275.0
107,Manitoba,1987,546150.0,505275.0,818366.6666666666,96283.33333333333,408991.6666666667
108,Manitoba,1988,548550.0,506233.3333333333,821441.6666666666,97775.0,408475.0
109,Manitoba,1989,553916.6666666666,512875.0,822508.3333333334,99666.66666666667,413216.6666666667
110,Manitoba,1990,554750.0,513875.0,824225.0,104333.33333333333,409541.6666666667
111,Manitoba,1991,554541.6666666666,506750.0,827325.0,110733.33333333333,396033.3333333333
112,Manitoba,1992,551125.0,499916.6666666667,828608.3333333334,111000.0,388933.3333333333
113,Manitoba,1993,555641.6666666666,503758.3333333333,830991.6666666666,111516.66666666667,392233.3333333333
114,Manitoba,1994,556258.3333333334,507675.0,833550.0,107983.33333333333,399700.0
115,Manitoba,1995,556616.6666666666,516333.3333333333,836425.0,107450.0,408883.3333333333
116,Manitoba,1996,558083.3333333334,517691.6666666667,840025.0,109408.33333333333,408300.0
117,Manitoba,1997,561416.6666666666,525033.3333333334,842791.6666666666,105975.0,419100.0
118,Manitoba,1998,566258.3333333334,534800.0,845316.6666666666,103950.0,430866.6666666667
119,Manitoba,1999,573983.3333333334,541825.0,850300.0,106250.0,435591.6666666667
120,Manitoba,2000,580891.6666666666,552250.0,855883.3333333334,104516.66666666667,447741.6666666667
121,Manitoba,2001,579158.3333333334,549675.0,855016.6666666666,105550.0,444125.0
122,Manitoba,2002,593416.6666666666,563300.0,861083.3333333334,112333.33333333333,450950.0
123,Manitoba,2003,596266.6666666666,566750.0,868691.6666666666,111550.0,455216.6666666667
124,Manitoba,2004,604650.0,572733.3333333334,878241.6666666666,110408.33333333333,462325.0
125,Manitoba,2005,605133.3333333334,576483.3333333334,885241.6666666666,113416.66666666667,463083.3333333333
126,Manitoba,2006,610866.6666666666,583158.3333333334,891966.6666666666,115766.66666666667,467400.0
127,Manitoba,2007,621591.6666666666,592816.6666666666,899075.0,115016.66666666667,477800.0
128,Manitoba,2008,629366.6666666666,602700.0,907083.3333333334,115733.33333333333,486958.3333333333
129,Manitoba,2009,634641.6666666666,600341.6666666666,917108.3333333334,116833.33333333333,483500.0
130,Manitoba,2010,645358.3333333334,610308.3333333334,928308.3333333334,120950.0,489358.3333333333
131,Manitoba,2011,651808.3333333334,616341.6666666666,939400.0,122150.0,494208.3333333333
132,Manitoba,2012,656758.3333333334,621125.0,951683.3333333334,122125.0,499041.6666666667
133,Manitoba,2013,662908.3333333334,626800.0,962258.3333333334,123941.66666666667,502850.0
134,Manitoba,2014,664700.0,628433.3333333334,972700.0,121375.0,507058.3333333333
135,Manitoba,2015,676000.0,637600.0,982708.3333333334,122225.0,515350.0
136,Manitoba,2016,678958.3333333334,637608.3333333334,998091.6666666666,124883.33333333333,512725.0
137,Manitoba,2017,684433.3333333334,647691.6666666666,1014091.6666666666,126333.33333333333,521375.0
138,Manitoba,2018,695200.0,653791.6666666666,1027700.0,129700.0,524066.6666666667
139,Manitoba,2019,698758.3333333334,661466.6666666666,1040175.0,130933.33333333333,530533.3333333334
140,Manitoba,2020,689141.6666666666,632908.3333333334,1047775.0,122358.33333333333,510566.6666666667
141,Manitoba,2021,701300.0,656225.0,1051583.3333333333,120841.66666666667,535366.6666666666
142,Manitoba,2022,709633.3333333334,677450.0,1063791.6666666667,126941.66666666667,550483.3333333334
143,Manitoba,2023,712800.0,683200.0,1073300.0,123900.0,559300.0
144,New Brunswick,1976,259700.0,231183.33333333334,481908.3333333333,25483.333333333332,205700.0
145,New Brunswick,1977,263325.0,228133.33333333334,490808.3333333333,26533.333333333332,201600.0
146,New Brunswick,1978,273233.3333333333,239158.33333333334,498566.6666666667,28408.333333333332,210791.66666666666
147,New Brunswick,1979,280550.0,250233.33333333334,506316.6666666667,32841.666666666664,217366.66666666666
148,New Brunswick,1980,285583.3333333333,253958.33333333334,513058.3333333333,33816.666666666664,220141.66666666666
149,New Brunswick,1981,291516.6666666667,257833.33333333334,517041.6666666667,37508.333333333336,220283.33333333334
150,New Brunswick,1982,289425.0,248566.66666666666,522158.3333333333,38825.0,209750.0
151,New Brunswick,1983,295183.3333333333,251141.66666666666,530208.3333333334,41891.666666666664,209266.66666666666
152,New Brunswick,1984,299083.3333333333,255350.0,537450.0,41216.666666666664,214158.33333333334
153,New Brunswick,1985,309033.3333333333,262025.0,542966.6666666666,42883.333333333336,219150.0
154,New Brunswick,1986,316141.6666666667,271025.0,547225.0,44658.333333333336,226358.33333333334
155,New Brunswick,1987,322758.3333333333,280300.0,551891.6666666666,44783.333333333336,235491.66666666666
156,New Brunswick,1988,329616.6666666667,290875.0,556833.3333333334,47483.333333333336,243383.33333333334
157,New Brunswick,1989,337591.6666666667,297125.0,562583.3333333334,47291.666666666664,249833.33333333334
158,New Brunswick,1990,341608.3333333333,300333.3333333333,569108.3333333334,47941.666666666664,252391.66666666666
159,New Brunswick,1991,338391.6666666667,295266.6666666667,575550.0,49050.0,246241.66666666666
160,New Brunswick,1992,340983.3333333333,296841.6666666667,579658.3333333334,50041.666666666664,246775.0
161,New Brunswick,1993,343366.6666666667,299900.0,582166.6666666666,51733.333333333336,248150.0
162,New Brunswick,1994,341391.6666666667,298366.6666666667,584733.3333333334,51066.666666666664,247316.66666666666
163,New Brunswick,1995,347091.6666666667,307325.0,587191.6666666666,51741.666666666664,255566.66666666666
164,New Brunswick,1996,346441.6666666667,305833.3333333333,589891.6666666666,52750.0,253083.33333333334
165,New Brunswick,1997,354450.0,309966.6666666667,592608.3333333334,52475.0,257516.66666666666
166,New Brunswick,1998,359808.3333333333,316225.0,593716.6666666666,51041.666666666664,265191.6666666667
167,New Brunswick,1999,362441.6666666667,325900.0,595750.0,52816.666666666664,273083.3333333333
168,New Brunswick,2000,368641.6666666667,331658.3333333333,598200.0,51008.333333333336,280650.0
169,New Brunswick,2001,371916.6666666667,330375.0,599750.0,49475.0,280900.0
170,New Brunswick,2002,380583.3333333333,341833.3333333333,601316.6666666666,53908.333333333336,287916.6666666667
171,New Brunswick,2003,380083.3333333333,341491.6666666667,603383.3333333334,53175.0,288308.3333333333
172,New Brunswick,2004,386083.3333333333,348441.6666666667,605208.3333333334,55791.666666666664,292641.6666666667
173,New Brunswick,2005,383816.6666666667,346683.3333333333,606358.3333333334,57266.666666666664,289416.6666666667
174,New Brunswick,2006,385150.0,349783.3333333333,606575.0,57133.333333333336,292641.6666666667
175,New Brunswick,2007,388000.0,357908.3333333333,607808.3333333334,57850.0,300058.3333333333
176,New Brunswick,2008,396125.0,361866.6666666667,610425.0,57450.0,304400.0
177,New Brunswick,2009,397433.3333333333,362225.0,614016.6666666666,58566.666666666664,303666.6666666667
178,New Brunswick,2010,397208.3333333333,359650.0,617583.3333333334,55683.333333333336,303966.6666666667
179,New Brunswick,2011,395083.3333333333,357000.0,621000.0,59033.333333333336,297975.0
180,New Brunswick,2012,397016.6666666667,355250.0,623658.3333333334,55833.333333333336,299408.3333333333
181,New Brunswick,2013,399241.6666666667,357341.6666666667,624925.0,57400.0,299933.3333333333
182,New Brunswick,2014,396941.6666666667,357258.3333333333,626100.0,56983.333333333336,300275.0
183,New Brunswick,2015,394308.3333333333,355075.0,626950.0,54775.0,300316.6666666667
184,New Brunswick,2016,396333.3333333333,357691.6666666667,630050.0,57508.333333333336,300191.6666666667
185,New Brunswick,2017,392933.3333333333,360150.0,633141.6666666666,53791.666666666664,306366.6666666667
186,New Brunswick,2018,393583.3333333333,361600.0,636908.3333333334,53666.666666666664,307916.6666666667
187,New Brunswick,2019,395925.0,363425.0,642666.6666666666,55683.333333333336,307741.6666666667
188,New Brunswick,2020,393233.3333333333,352541.6666666667,646925.0,51733.333333333336,300800.0
189,New Brunswick,2021,400425.0,363833.3333333333,650758.3333333334,56166.666666666664,307683.3333333333
190,New Brunswick,2022,402666.6666666667,373641.6666666667,664125.0,53025.0,320625.0
191,New Brunswick,2023,409400.0,378500.0,674300.0,57500.0,321000.0
192,Newfoundland and Labrador,1976,183816.66666666666,159225.0,370666.6666666667,12208.333333333334,147008.33333333334
193,Newfoundland and Labrador,1977,190475.0,160900.0,376250.0,13058.333333333334,147833.33333333334
194,Newfoundland and Labrador,1978,197700.0,166150.0,381983.3333333333,14175.0,151966.66666666666
195,Newfoundland and Labrador,1979,207383.33333333334,176800.0,388600.0,15708.333333333334,161108.33333333334
196,Newfoundland and Labrador,1980,210291.66666666666,182291.66666666666,395633.3333333333,16208.333333333334,166091.66666666666
197,Newfoundland and Labrador,1981,215175.0,186141.66666666666,401808.3333333333,16491.666666666668,169675.0
198,Newfoundland and Labrador,1982,216425.0,181150.0,406491.6666666667,17791.666666666668,163350.0
199,Newfoundland and Labrador,1983,220666.66666666666,180783.33333333334,413800.0,20025.0,160750.0
200,Newfoundland and Labrador,1984,224425.0,179100.0,418591.6666666667,20291.666666666668,158808.33333333334
201,Newfoundland and Labrador,1985,228791.66666666666,182683.33333333334,421925.0,21883.333333333332,160816.66666666666
202,Newfoundland and Labrador,1986,230366.66666666666,186816.66666666666,424241.6666666667,22025.0,164766.66666666666
203,Newfoundland and Labrador,1987,230808.33333333334,189733.33333333334,427133.3333333333,22958.333333333332,166766.66666666666
204,Newfoundland and Labrador,1988,237908.33333333334,199533.33333333334,430916.6666666667,23925.0,175641.66666666666
205,Newfoundland and Labrador,1989,244166.66666666666,206675.0,435583.3333333333,26016.666666666668,180641.66666666666
206,Newfoundland and Labrador,1990,249233.33333333334,206991.66666666666,439825.0,25650.0,181341.66666666666
207,Newfoundland and Labrador,1991,249841.66666666666,204916.66666666666,444450.0,27541.666666666668,177366.66666666666
208,Newfoundland and Labrador,1992,243700.0,194783.33333333334,447950.0,28700.0,166091.66666666666
209,Newfoundland and Labrador,1993,242566.66666666666,193933.33333333334,450316.6666666667,29966.666666666668,163941.66666666666
210,Newfoundland and Labrador,1994,241916.66666666666,193633.33333333334,449091.6666666667,29066.666666666668,164541.66666666666
211,Newfoundland and Labrador,1995,237175.0,194700.0,446666.6666666667,31758.333333333332,162925.0
212,Newfoundland and Labrador,1996,233366.66666666666,189008.33333333334,443725.0,31725.0,157266.66666666666
213,Newfoundland and Labrador,1997,231275.0,189216.66666666666,439466.6666666667,31833.333333333332,157366.66666666666
214,Newfoundland and Labrador,1998,234975.0,193383.33333333334,434075.0,32000.0,161366.66666666666
215,Newfoundland and Labrador,1999,242225.0,201841.66666666666,431183.3333333333,31541.666666666668,170300.0
216,Newfoundland and Labrador,2000,238550.0,199000.0,429333.3333333333,29775.0,169241.66666666666
217,Newfoundland and Labrador,2001,242541.66666666666,203683.33333333334,426608.3333333333,29916.666666666668,173775.0
218,Newfoundland and Labrador,2002,248216.66666666666,206708.33333333334,426008.3333333333,32716.666666666668,173966.66666666666
219,Newfoundland and Labrador,2003,252108.33333333334,210291.66666666666,426750.0,32125.0,178158.33333333334
220,Newfoundland and Labrador,2004,252508.33333333334,213358.33333333334,427383.3333333333,31858.333333333332,181508.33333333334
221,Newfoundland and Labrador,2005,250491.66666666666,212541.66666666666,426858.3333333333,31716.666666666668,180816.66666666666
222,Newfoundland and Labrador,2006,251816.66666666666,214191.66666666666,425533.3333333333,32791.666666666664,181400.0
223,Newfoundland and Labrador,2007,252158.33333333334,217716.66666666666,425375.0,31358.333333333332,186341.66666666666
224,Newfoundland and Labrador,2008,255308.33333333334,221100.0,427875.0,32050.0,189050.0
225,Newfoundland and Labrador,2009,256333.33333333334,215650.0,432366.6666666667,30983.333333333332,184675.0
226,Newfoundland and Labrador,2010,263691.6666666667,224716.66666666666,437333.3333333333,33400.0,191325.0
227,Newfoundland and Labrador,2011,267991.6666666667,232900.0,440541.6666666667,34808.333333333336,198091.66666666666
228,Newfoundland and Labrador,2012,274708.3333333333,239600.0,442750.0,32750.0,206841.66666666666
229,Newfoundland and Labrador,2013,274391.6666666667,241916.66666666666,444541.6666666667,35000.0,206908.33333333334
230,Newfoundland and Labrador,2014,273525.0,239125.0,445833.3333333333,36125.0,203000.0
231,Newfoundland and Labrador,2015,275833.3333333333,239616.66666666666,446650.0,34941.666666666664,204675.0
232,Newfoundland and Labrador,2016,271958.3333333333,234691.66666666666,447900.0,38275.0,196408.33333333334
233,Newfoundland and Labrador,2017,265975.0,225583.33333333334,447725.0,33916.666666666664,191708.33333333334
234,Newfoundland and Labrador,2018,263175.0,226308.33333333334,446650.0,37383.333333333336,188933.33333333334
